"LOCALITY.ID","LATITUDE","LONGITUDE"
"L6038823",28.8747038,82.4913215
"L6038826",28.895139,82.5087994
"L6038827",28.9072271,82.5107957
"L6038828",28.9540459,82.5189265
"L6042781",28.5198451,82.024812
"L6042783",28.9760744,82.8799084
"L6042790",29.0155802,82.7510173
"L6042793",28.9748374,82.5367589
"L6042796",28.9908182,82.6667733
"L6042799",28.9889719,82.5796616
"L6048217",29.1371685,82.9005146
"L6048247",29.173822,82.9357052
"L6051832",29.8457356,80.5432199
"L6051953",27.725087,85.322253
"L6052051",27.874984,82.573794
"L6052060",28.017359,85.215523
"L3877256",27.7281341,85.3921795
"L6157351",27.599485,85.240271
"L6196400",27.9028629,84.5802936
"L6217762",27.6584315,85.2640215
"L983436",29.5141684,82.0733643
"L6231717",27.7792529,85.3954124
"L6231766",27.7681463,85.4235578
"L6234958",27.707088,85.2469736
"L6241319",26.595924,87.789267
"L6253300",28.7828499,83.7248116
"L6263821",27.6811663,85.2427675
"L6266348",27.6798718,85.2877361
"L6269971",27.7164058,85.4280066
"L6269978",27.6803991,85.2889109
"L3887230",27.4288042,84.9927235
"L6288585",27.6529037,84.5707476
"L6299654",27.6281448,84.5576078
"L6328065",27.710605,85.351501
"L6331019",27.672183,85.310274
"L6337068",27.671943,85.420433
"L6337072",27.670668,85.421022
"L6337094",27.582493,85.382523
"L6339731",27.659633,85.29363
"L6344376",28.201096,83.963738
"L6349788",28.19818,83.969271
"L6349793",28.193895,83.967685
"L6349823",28.204965,83.946926
"L6351496",28.2054151,83.9616609
"L6330612",28.2211658,83.9571333
"L6379971",27.7983498,84.7102976
"L7369820",28.3973653,83.7650657
"L6423303",28.2009145,83.9533889
"L6430288",28.2053387,83.9635554
"L6430295",27.5914801,83.6758626
"L6430306",27.6692381,83.1420708
"L6430310",27.5821659,83.0509186
"L6430315",28.356951,81.7131186
"L6430446",27.8360366,86.7636345
"L1493537",27.5301156,84.0365067
"L6432522",28.3725361,81.1954182
"L6445517",27.7439483,85.3893399
"L6448049",27.6991081,85.75387
"L6451287",27.92204,85.15183
"L6451310",28.154005,85.390547
"L6472252",27.6667644,85.3096014
"L6473991",27.937286,84.405495
"L6474155",28.21551,85.51887
"L6474167",28.215808,85.516262
"L6474623",27.937379,84.405489
"L6474624",27.936749,84.407407
"L6476891",27.9378,84.413093
"L6476892",27.938552,84.4073
"L6479098",27.938313,84.399564
"L6512651",27.69943,85.355746
"L6512784",27.722074,85.362407
"L6512787",27.806987,84.819172
"L6516136",27.714975,85.301733
"L6518494",27.717456,85.159815
"L6519979",27.874788,84.615725
"L6529880",28.300339,84.387463
"L6552301",28.701305,83.985242
"L6561282",27.5684517,84.2147909
"L6566751",28.425998,83.691102
"L6567310",27.5730632,84.2043669
"L6568101",27.6199912,84.464179
"L6568105",27.614146,84.4248615
"L1182218",26.6667641,87.013625
"L6582643",28.396794,83.765543
"L6605371",28.1359937,83.4972811
"L6605418",27.4974989,83.2767248
"L6605630",28.220712,83.4228444
"L6605665",28.2682904,83.5952568
"L6634982",27.6139762,86.7137039
"L6637754",27.6896036,85.3480589
"L5455455",28.1639568,84.0097904
"L6674850",27.7629771,85.330469
"L6674930",27.7763719,85.3303993
"L6675018",27.785157,85.3267407
"L6675109",27.7985396,85.3271484
"L6675240",27.7854037,85.3034592
"L6675228",27.567609,84.103636
"L6700681",27.5676632,84.1951836
"L6700905",27.567444,84.1945884
"L6704932",27.5652356,84.1936345
"L6717425",27.9807966,86.8289208
"L6717447",27.9536956,86.6952181
"L6717514",27.9285405,86.8328154
"L6720900",27.5644487,84.1925293
"L6721580",27.6891618,85.3159457
"L6721722",27.7020528,85.3039956
"L6721829",27.7046555,85.2816975
"L6722282",27.682084,85.2420187
"L6726187",27.5674652,84.1952931
"L6762256",27.576583,84.2148082
"L6768815",27.5743017,84.2012417
"L6769086",27.5750217,84.2030883
"L6772784",27.7297011,85.2363449
"L6781776",27.7249663,84.6035872
"L6781833",27.765956,84.5856259
"L6781852",27.7634577,84.5826812
"L6781874",27.7633455,84.5827068
"L6781882",27.7633958,84.5830902
"L6781894",27.7724092,84.6029884
"L6793717",27.7340608,85.3367919
"L6793757",27.7340321,85.3368341
"L6793799",27.7333504,85.336451
"L6805628",27.6780484,84.4295447
"L6809403",27.5900218,84.4915059
"L6816873",27.7244398,85.3147084
"L6823563",27.5735559,84.2092054
"L6823576",27.5735567,84.2093333
"L6828209",27.7592032,85.4200315
"L6844258",27.645724,85.306294
"L6863435",28.604665,81.626697
"L6868537",28.584465,81.620013
"L6925236",28.63457,81.583431
"L6931301",28.634027,81.583737
"L6941511",28.573195,81.615647
"L6951330",27.7455583,85.2664756
"L6951336",27.741522,85.291425
"L6953248",28.2117204,83.9607515
"L6958264",27.7744366,85.3576219
"L6960387",27.7742921,85.3598319
"L6960397",27.6494823,85.2802481
"L6960408",27.6810215,85.2872172
"L6960411",27.7745102,85.3596931
"L5651530",28.1668322,85.3448439
"L6964699",27.6957768,85.712285
"L6965138",28.1709431,83.9963021
"L6965246",28.1599904,83.95524
"L6965406",27.720495,85.356843
"L6971019",28.1591033,83.9853937
"L6972883",27.5889764,85.3788055
"L6972889",27.570653,85.4069298
"L6970833",27.718751,85.319595
"L6977763",28.1208876,84.0042725
"L6977784",28.1031986,84.018456
"L6978440",27.673253,85.325565
"L6978581",27.6482827,84.4661474
"L6979264",27.5703382,84.4976895
"L6979275",27.816933,84.4424596
"L6983631",27.5736709,84.5003889
"L6994220",27.5036241,84.2703632
"L7007058",27.4374539,84.3953513
"L7007059",27.4539646,84.3392852
"L7007508",27.6810626,85.243071
"L7007051",27.5038015,84.2601855
"L7011416",28.0341827,83.4144759
"L7018398",27.6935983,85.2055979
"L7022329",27.7099912,85.3066359
"L7101545",27.6839841,85.2218771
"L7101997",27.614986,85.571231
"L7112471",27.698174,83.465696
"L7112493",27.924437,83.455399
"L7115729",28.206787,83.05581
"L7115764",28.206996,83.055722
"L7123257",27.489845,83.296609
"L7115409",27.739252,85.345785
"L7127796",28.214929,83.094046
"L7131990",27.568422,84.196372
"L7152432",27.7242516,85.2794275
"L7153899",27.5819982,84.4631642
"L7153630",27.5781593,84.4924298
"L7154953",27.6782871,84.4299906
"L3036525",28.4167677,83.7286091
"L3034699",28.4235532,83.8278809
"L7177009",27.6582977,85.2643008
"L7199606",28.193993,83.9858007
"L7200322",28.1748147,83.9958215
"L7205110",27.6934843,85.359478
"L7235885",28.210549,83.9590377
"L7235988",28.15,84.1163889
"L7235992",28.6436111,83.5972222
"L7236002",28.3480556,83.575
"L7236224",28.2080766,83.9565754
"L7128459",27.646165,85.288775
"L11618616",27.67315,85.3276013
"L11618632",27.6728905,85.327607
"L11618623",27.6728842,85.3275917
"L2908204",27.5332946,84.3334923
"L11618639",27.669977,85.3298799
"L7331970",27.648858,85.282095
"L7332660",27.689462,85.283624
"L7339163",27.5986,85.3696728
"L7369808",27.667112,85.47882
"L7371379",29.6678474,80.5438016
"L7380324",27.66931,85.481366
"L7421166",27.6156722,85.5703828
"L7430442",27.8312357,86.7408371
"L7430474",27.7739522,86.7211819
"L7430480",27.855055,86.8260133
"L7430688",27.6855194,86.7277908
"L7443653",29.7330365,80.4886243
"L7452607",27.5499621,84.3696088
"L7452774",27.60028,83.0150771
"L7473402",27.660393,85.479009
"L7545064",27.7146479,85.3147656
"L7550228",27.570039,84.1056
"L7656759",27.1627243,85.2416611
"L7656962",27.421926,85.024422
"L7656986",27.018881,85.534978
"L7679713",27.700686,85.291602
"L7679885",27.580877,84.508253
"L7680050",27.594805,84.481034
"L7076605",27.7250873,85.2623275
"L7793574",26.7567814,87.8855657
"L7793604",26.9197387,87.9502696
"L7794671",27.421888,85.024405
"L7796908",26.9075404,87.9248412
"L7799981",27.667041,85.478421
"L7814428",27.507021,83.4196253
"L3786796",28.1980785,81.5179324
"L7833778",27.5526479,84.1735522
"L7841315",28.1916644,84.052758
"L7843744",27.699082,85.35317
"L7846651",27.714127,85.300498
"L7889422",27.7111907,85.3167917
"L7892023",27.66995,85.481905
"L7893568",27.5034017,84.2787773
"L7364303",27.711395,85.315933
"L7918157",27.716059,85.309841
"L7920596",28.1014493,81.6674559
"L7923538",27.5755587,84.5028864
"L7954808",27.7745963,85.3581399
"L3036531",28.6074691,83.6440659
