Species,Species3,Tree.name
Olive-backed Pipit,Anthus hodgsoni,Anthus_hodgsoni
Rusty-bellied Shortwing,Brachypteryx hyperythra,Brachypteryx_hyperythra
Rusty-capped Fulvetta,Alcippe dubia,Alcippe_dubia
Small Niltava,Niltava macgrigoriae,Niltava_macgrigoriae
Taiga Flycatcher,Ficedula albicilla,Ficedula_albicilla
Ashy Drongo,Dicrurus leucophaeus,Dicrurus_leucophaeus
Blue-winged Laughingthrush,Garrulax squamatus,Garrulax_squamatus
Great Cormorant,Phalacrocorax carbo,Phalacrocorax_carbo
Hair-crested Drongo,Dicrurus hottentottus,Dicrurus_hottentottus
Little Egret,Egretta garzetta,Egretta_garzetta
Silver-eared Mesia,Leiothrix argentauris,Leiothrix_argentauris
Red-vented Bulbul,Pycnonotus cafer,Pycnonotus_cafer
Tickell's Leaf Warbler,Phylloscopus affinis,Phylloscopus_affinis
Asian Barred Owlet,Glaucidium cuculoides,Glaucidium_cuculoides
Large-tailed Nightjar,Caprimulgus macrurus,Caprimulgus_macrurus
Red-breasted Parakeet,Psittacula alexandri,Psittacula_alexandri
Spotted Owlet,Athene brama,Athene_brama
Crested Serpent-Eagle,Spilornis cheela,Spilornis_cheela
Vernal Hanging-Parrot,Loriculus vernalis,Loriculus_vernalis
Chestnut-crowned Laughingthrush,Garrulax erythrocephalus,Garrulax_erythrocephalus
Gray-cheeked Warbler,Seicercus poliogenys,Seicercus_poliogenys
Indian Blue Robin,Luscinia brunnea,Luscinia_brunnea
Lesser Cuckoo,Cuculus poliocephalus,Cuculus_poliocephalus
Russet Bush Warbler,Bradypterus mandelli,Bradypterus_mandelli
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,Pomatorhinus_ruficollis
Striated Laughingthrush,Garrulax striatus,Garrulax_striatus
Wedge-tailed Green-Pigeon,Treron sphenurus,Treron_sphenurus
Yellow-breasted Greenfinch,Carduelis spinoides,Carduelis_spinoides
Black-winged Cuckooshrike,Coracina melaschistos,Coracina_melaschistos
Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopus_reguloides
Plaintive Cuckoo,Cacomantis merulinus,Cacomantis_merulinus
Slaty-bellied Tesia,Tesia olivea,Tesia_olivea
Asian Emerald Cuckoo,Chrysococcyx maculatus,Chrysococcyx_maculatus
Chestnut-crowned Warbler,Seicercus castaniceps,Seicercus_castaniceps
Hodgson's Hawk-Cuckoo,Cuculus fugax,Cuculus_fugax
