Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Monticola_rufiventris,Chestnut-bellied Rock-Thrush,2893,2173.7,718.2,2122,1509,601.5,1133.2,609.125,512.45,1759.8,0.248254407,0.283459001,0.452214966
Pericrocotus_ethologus,Long-tailed Minivet,2892,2173,720,1974,1011,965,447.375,330.8,118,2444.625,0.248962656,0.488855117,0.263760827
Phylloscopus_pulcher,Buff-barred Warbler,3248,2417,832.025,2083.5,1916,174.25,1336,883.75,449.125,1912,0.256165333,0.083633309,0.336171407
Carpodacus_rodochroa,Pink-browed Rosefinch,3425,2523.3,895.175,2063,1947,117.25,1415,1283.2,145.15,2010,0.261364964,0.056834707,0.102579505
Emberiza_stewarti,White-capped Bunting,2934,2148.8,784.9,1616,1227,461.5,434.7,426.2,15.375,2499.3,0.267518746,0.285581683,0.03536922
Niltava_macgrigoriae,Small Niltava,2417,1757,660,2173,1254,910,1248,391.2,839.325,1169,0.273065784,0.418775886,0.672536058
Phoenicurus_erythrogastrus,White-winged Redstart,5132.35,3678,1460.625,3491,3237,254,2857,2799.35,15.35,2275.35,0.284591854,0.072758522,0.005372769
Rhipidura_aureola,White-browed Fantail,1409.9,1006.2,401.5,666,499,147,343.8,285.6,64.6,1066.1,0.28477197,0.220720721,0.187899942
Phoenicurus_frontalis,Blue-fronted Redstart,3421.1,2417,1004.1,2173,2023.5,150,1385.5,1255,130.5,2035.6,0.29350209,0.069028992,0.094189823
Streptopelia_orientalis,Oriental Turtle-Dove,3420,2401.05,1010.1,2173,1332,841,602,388,214,2818,0.295350877,0.387022549,0.355481728
Minla_strigula,Chestnut-tailed Minla,3447,2417,1030,2489,2011,464.75,1542,1321.15,246.125,1905,0.29881056,0.186721575,0.159614137
Acridotheres_ginginianus,Bank Myna,1297.7,905,391.7,441.5,368,74,258.8,245,11.5,1038.9,0.30184172,0.167610419,0.044435858
Cettia_brunnifrons,Gray-sided Bush Warbler,3482.4,2425.1,1054.8,2295,1630,634,1002.15,602,411.275,2480.25,0.302894555,0.276252723,0.410392656
Carpodacus_nipalensis,Dark-breasted Rosefinch,3475.5,2417,1058.5,2417,2174,243,1844.3,1568.9,271.6,1631.2,0.304560495,0.100537857,0.147264545
Chelidorhynx_hypoxantha,Yellow-bellied Fairy-Fantail,3236,2185.5,1021.85,1388,771,643,486.6,360.75,128.65,2749.4,0.315775649,0.463256484,0.264385532
Dicrurus_leucophaeus,Ashy Drongo,2417,1652.2,765.8,1943,664,1279,550.925,272,278.925,1866.075,0.316839057,0.658260422,0.506284885
Passer_domesticus,House Sparrow,3566.4,2417,1149.4,1360,1219,134.25,272,272,0,3294.4,0.322285778,0.098713235,0
Prunella_collaris,Alpine Accentor,5267,3486.05,1780.95,3094,2734.5,359.5,1847.8,1399,360.6,3419.2,0.338133662,0.116192631,0.19515099
Streptopelia_decaocto,Eurasian Collared-Dove,2417,1591,826,954,421,522.75,272,262,10,2145,0.341745966,0.547955975,0.036764706
Anthus_rufulus,Paddyfield Pipit,1286.2,836.45,447.875,387.5,342,42,245,240.7,4.55,1041.2,0.348215674,0.108387097,0.018571429
Eudynamys_scolopaceus,Asian Koel,1945,1256,690.9,616,409,207,272,272,0,1673,0.355218509,0.336038961,0
Phylloscopus_trochiloides,Greenish Warbler,2892.75,1814,1037,861,591,270,272,272,0,2620.75,0.358482413,0.31358885,0
Pericrocotus_cinnamomeus,Small Minivet,1452,892.2,526.475,486,440,40.5,272,262.575,6.15,1180,0.362586088,0.083333333,0.022610294
Stigmatopelia_chinensis,Spotted Dove,2173,1383,790,653,602,51,272,272,0,1901,0.363552692,0.078101072,0
Saxicola_torquatus,Siberian Stonechat,3253.8,2049,1199.85,1694,666,993.75,386.6,262,125.3,2867.2,0.368753457,0.58662928,0.324107605
Lanius_schach,Long-tailed Shrike,3247.25,2039.2,1207,1589,638,956,368,272,96,2879.25,0.37169913,0.601636249,0.260869565
Sitta_frontalis,Velvet-fronted Nuthatch,2163.65,1348.5,809.4,600.75,602,-1,354,363,-12.575,1809.65,0.374090079,-0.001664586,-0.035522599
Seicercus_whistleri,Whistler's Warbler,3185.2,1968.8,1211.5,1376.5,602,774.5,468.5,392.7,74,2716.7,0.380352882,0.562658918,0.157950907
Tarsiger_chrysaeus,Golden Bush-Robin,3498.4,2173,1330.8,2135,1582.5,534,1248,938.6,306.4,2250.4,0.38040247,0.250117096,0.245512821
Emberiza_cia,Rock Bunting,4259,2630,1629,2504,1987,512,1375.075,932,449,2883.925,0.382484151,0.204472843,0.326527644
Anthus_hodgsoni,Olive-backed Pipit,3784.15,2173.075,1610.275,1695,1266,431,272,272,0,3512.15,0.425531493,0.254277286,0
Upupa_epops,Eurasian Hoopoe,3566,2072.85,1523.225,1609,421,1189,310.6,262,47.4,3255.4,0.427152271,0.738968303,0.152607856
