"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Golden-fronted Leafbird",2,161,132.5,213.7125,86.7,76,125.2,66.875,17.74375,128.7825
"Gray-bellied Tesia",2,1739,1739,1739,133.5,107.56,152.485,1605.5,1586.515,1631.44
"Lesser Racket-tailed Drongo",2,285.25,254.2,402.4,126.9,97.6025,142,169.25,116.875,279.4175
"Long-tailed Sibia",2,664.1,655.85,794.236249999996,489,280.6,489,187.475,166.85,417.519999999999
"Maroon Oriole",2,480,422.4775,617.33125,125,110,142,354.65,293.795,492.25
"Pin-tailed Green-Pigeon",2,203.5,175,260,142,125,144.25,64.7,33.3,118.49
"Pygmy Cupwing",2,998.85,951.2,1427.4475,250,190.8,331,749.75,637.525,1191.02125
"Red-headed Trogon",0,413.05,383.85,557.4,260.6,147.625,485.2575,159.775,-47.1324999999999,366.9325
"Rufous Woodpecker",0,176.15,136.5,280.99,142,142,221.5,22.85,-34.7775,138.72
"Rufous-necked Hornbill",0,617.8,352.96375,835,489,426.64125,612.2,124.075,-141.525,342.76
"Rusty-fronted Barwing",2,1111.65,1084,1199,489,488,495.13875,622.65,582.6,710
"Streaked Spiderhunter",2,379.8,262.6,479.025,133.35,125,142,249.15,124.6,349.94
"Sultan Tit",0,242.3,145.35,365.15,142,141.1,183.8875,92.925,-1.24375000000003,223.15
"White-throated Bulbul",2,211.45,181.7,279.3175,142,125,142,75.4,42.28125,139.75875
"Blue Whistling-Thrush",2,695,659,756,331,295.45875,441.50625,354.85,248.995,435.2225
"Common Sandpiper",2,173.4,155.54,193.255,85.7,85.225,106.885,86.3,70.245,87.63
"Crested Kingfisher",0,208,203.05,262.6375,245.2,176.3,318.55,-36.9,-112.35,41.35
"White Wagtail",2,195.4,143.35,199.7075,112,109.89375,125.1025,81.2,31.35,89.35125
"White-throated Kingfisher",1,44,44,46.05,68.025,45.4,81.205,-23.85,-37.0025,-0.298749999999998
"Brown Dipper",0,591.95,581.05,702.15,496.8,353.7075,618.205,108.825,-8.57374999999994,268.06625
"River Lapwing",0,127,105.65,140.5,110.8,106.49375,112.00375,16.6,-4.70249999999999,30.605
"Great Barbet",2,440,419.0975,488.70375,312,241.5,402.51375,128,41.995,208.715
"Great Hornbill",0,182,142,256,142,126.8,142,40,0,114
"Lesser Necklaced Laughingthrush",2,431.9,360.795,476.525,142,142,250,285.85,173.9225,328.1
"Orange-bellied Leafbird",2,355.4,307.75,431.01125,205,142.58875,269.26125,149.675,56.4975,261.65875
"Red-tailed Minla",2,1460.75,1428.75,1625.50375,489,489,653.93,964.05,800.9475,1118.30625
"White-crested Laughingthrush",0,472,433.9,489.4,480.6,407.49375,489,-1.27500000000003,-50.2699999999999,72.20625
"Little Cormorant",0,75,52.09125,83.75,52.45,43.44875,81,18.2,-16.76,36.9025
"Black Bulbul",2,469,425.49375,513,153.85,142,294.825,305.85,169.35,360.83125
"Black-hooded Oriole",1,44,44,44,52.325,45.4975,83.4025,-8.32500000000001,-39.4025,-1.40000000000001
"Black-throated Tit",0,1199,1134.05,1292.65,1115.65,1067,1274.0675,76.725,-87.1937500000001,206.2425
"Common Iora",0,80.25,65.6,110,93.325,74.4975,120.75625,-11.175,-44.5,28.605
"Golden-throated Barbet",2,611.55,504.6,702.47,298.8,165,515,310.9,51.0625,491.535
"Gray-capped Pygmy Woodpecker",0,188.8,156.6625,256.55,113.4,87.925,201.23125,74.7,-18.875,149.56875
"Gray-hooded Warbler",0,561.4,489,649.5,489,489,602.53125,67.6,-45.11,155.815
"Hill Partridge",0,1313.4,1119.25,1446.4,1301.9,1173.9,1714,3.19999999999982,-484.28,253.99
"Little Pied Flycatcher",2,1175.35,1061.5,1372.24,114.7,85.96,144.07,1061.9,932.54,1249.97
"Mountain Bulbul",0,575,519.5875,744.5125,535,489,781.71125,47.65,-193.2275,225.60375
"Spotted Dove",1,44,44,46,79,68.7925,86.5,-34,-42.20375,-24
"Verditer Flycatcher",2,651.4,598.81875,695,108.5,78.5,147.3125,548.5,480.90625,611.6625
"White-naped Yuhina",0,535.25,415.5,800.3,489,433.7,603.79,38.5,-126.46,320.2
"White-throated Fantail",0,121.65,98.4,137.1,128.1,110.2,142,-5.90000000000001,-32.905,15.75125
"Asian Palm-Swift",0,77.7,75,106.6125,82,73.85,110,-6.64999999999999,-29.85,32.275
"Asian Pied Starling",0,75,52,75.25,61.2,46.29625,80,6.3,-23.6,28.50125
"Himalayan Swiftlet",2,179,176.7,253.44,131.75,119.15,142,48.15,36.3,123.06
"Beautiful Sibia",2,1706,1615.7,1739,686.5,554.9,832.865,1022,865.13,1168.005
"Black-throated Sunbird",2,505.2,418.7,515,331,196.5725,444.81625,182.2,49.44625,305.77625
"Brownish-flanked Bush Warbler",2,1132,1132,1132,489,489,489,643,643,643
"Bay Woodpecker",2,585.8,549,657.05,489,404.44125,577.6,99.0999999999999,23.11125,188.6175
"Olive-backed Pipit",2,1445.725,1100.43375,1820.9025,244.675,142,358.58625,1212.55,808.85,1619.4875
"Small Niltava",2,575,418.4,750,142,125,156.53125,439.85,279.78625,608.50125
"Ashy Drongo",2,428.5,401.33875,485.3125,125,114.14875,140,301.65,272.79875,355.65875
"Blue-winged Laughingthrush",2,1328,1301.5,1482.3,489,460.2325,678.7,834.7,652.245,967.7125
"Hair-crested Drongo",0,99,99,135.6075,112.6,95,125.7075,-13,-26.9025,24.4125
"Little Egret",0,75,74.3,81,73.2,43.5,81.275,3.34999999999999,-6.40000000000001,34.7
"Silver-eared Mesia",2,453.125,391.54125,528.3,157.1,142,239.88625,283.25,179.7275,375.1175
"Red-vented Bulbul",1,86,75.3975,99,112,110,117.7075,-26,-37,-11.44375
"Tickell's Leaf Warbler",2,1103.75,759.5,1272.5,120.65,96.33375,140,972,638.6175,1152.10375
"Asian Barred Owlet",0,199,138.9,367.8275,140.6,120.18875,142.60375,61.75,-2,235.45625
"Red-breasted Parakeet",0,82.3,59.5,132.47,86,76,108.225,-7.09999999999999,-38.675,52.74
"Crested Serpent-Eagle",2,185.75,160.37,376.575,114.8,96.99875,140.5,72.6,33.9925,263.4425
"Chestnut-crowned Laughingthrush",2,1739,1739,1739,1301,1136.62375,1434.8075,438,304.1925,602.37625
"Gray-cheeked Warbler",2,1058.15,981.8,1158.525,202.85,142,489,844.8,524.215,968.19
"Streak-breasted Scimitar-Babbler",0,1244.8,1157.4,1624.79,1302.05,1170.85,1405,-13.25,-189.1675,368.41875
"Striated Laughingthrush",2,1006.375,960,1084,779.9,489,995.815,222.5,6.04374999999995,564.8
"Wedge-tailed Green-Pigeon",2,513,439.2,582,142,116.25,238.925,371,229.3475,448.8725
"Yellow-breasted Greenfinch",0,1273,1203,1398.405,1028.55,972.5,1360.715,225.025,-108.07,373.925
"Black-winged Cuckooshrike",2,498.15,413,549,111.375,76,143.8,380.7,288.33,454.88125
"Blyth's Leaf Warbler",2,1594.475,1566,1739,140.3,94.5,201.85,1461,1409.3925,1597
"Slaty-bellied Tesia",2,1282.85,1199,1377.39,142,125,160,1141.025,1048.225,1245.52875
"Chestnut-crowned Warbler",2,1341,1172.4,1590.50125,489,413.4,489,852.75,683.4,1107.1575
"Rufous-winged Fulvetta",2,1739,1630,1739,859.7,489,1106.7225,849.3,605.705,1250
"Gray-throated Babbler",0,217.8,177.2,416,403.725,250,489,-156,-308.5275,96.60875
"Pin-striped Tit-Babbler",0,145.25,131.6,162.215,136.575,125,142,11.175,-7.95500000000002,35.005
"Puff-throated Babbler",2,167.9,165.93,179.7075,141.1,137.71,142,28.35,24.655,40.6075
"Black-tailed Crake",0,1474,1309.4,1603.94,1446,1176.9,1548.25,28,-179.3,304.52
"Blue-winged Minla",2,992.75,989,1029.845,205,161.24125,484.1,784,508.39625,845.2025
"Blyth's Shrike-Babbler",2,911,886.85,1084,489,359.8,489,434.6,397.85,605.81625
"Gray Bushchat",2,1259,1225.395,1346.3,304.35,212.7925,497.2,954.85,757.21125,1063.955
"Gray-headed Canary-Flycatcher",2,515,475.4425,515,118,93.34625,135.4025,394.55,349.79125,420.905
"Nepal Fulvetta",0,398.75,259.925,469,489,364.75,489,-80.75,-224.415,43.78125
"Russet Sparrow",1,1244,1217.4625,1301.255,1300.2,1268.1975,1395.7625,-57.6,-150.6475,-0.492499999999786
"White-tailed Nuthatch",0,1103,1025.35,1294.14,1280.85,682,1406.4,-137.875,-325.50625,500.8975
"Gray-sided Bush Warbler",2,2305.1,2181.65,2417,489,489,708,1785.5,1558.9375,1926.125
"Nepal House-Martin",0,825.4,393.8,906,374.95,210.39,582.9,413.8,-71.22,656
"Plain Mountain Finch",2,2646.1,2646.1,2646.1,1902.6,1883.8075,2117.7025,743.5,528.3975,762.2925
"Himalayan Bulbul",0,439,359.395,443.85125,421.9,377.9675,501,1.15000000000001,-89,56.4
"Oriental Turtle-Dove",2,1029,906.45,1129.97375,281.025,175.90125,482.145,753.725,518.27625,903.3275
"Rufous Sibia",2,1401.65,1355.48625,1468,629.8,564.10875,695,773.8,666,886.15125
"Large Niltava",2,911,538.95,1071.25875,258.35,142,489,592.6,203.48,865.65
"Lineated Barbet",0,75,75,98.86875,81.2,74.4,105.25,-2.75,-27.26875,20.71875
"White-rumped Shama",2,162.375,135.965,177.45,125,107.4,142,36,10.5975,62.33125
"Greater Necklaced Laughingthrush",0,274.5,259.75,330.65,172.3,142,313.915,108.25,-44.12,176.79375
"Greater Yellownape",2,238,192.77375,331.05,142,126.4,185,93,25.3925,182.48375
"Red Junglefowl",0,142.85,121.35,185.57,121.4,97.34,138.6,22.95,-4.97999999999999,65.78
"Asian Emerald Dove",2,162,157.03875,174.98875,142,140.9,151.0875,20,11.89,32.98875
"Black-crested Bulbul",2,166.1,153.8,196.76125,125,112.1,137.55125,41.4,24.54875,73.81375
"Common Green-Magpie",2,430.45,340,448.2075,254,234.26125,350.4075,166,58.28375,200.1525
"Eurasian Kestrel",2,1175.425,1172.31375,1178.53625,149.4,142.37,156.43,1026.025,1022.10625,1029.94375
"Oriental Magpie-Robin",1,49,46,75,109.35,102,112,-58.375,-64,-31.32875
"Common Myna",0,86,82.4975,99,100.5,81.6475,108,-9.8,-22,9.655
"Common Tailorbird",0,93.5,55.42125,133.81,115.2,104.0975,132.805,-22.75,-60.3025,19.6025
"Ibisbill",2,1222.5,1222.45,1223.5325,1179.35,318.72375,1207,43.6500000000001,15.45,903.72625
"Red-wattled Lapwing",0,82,79,108.4025,81,60.2925,105.60375,1.8,-24.005,31.91
"Rufous-gorgeted Flycatcher",2,2070,1668,2418.01,489,393.395,489,1594,1179,1933.2025
"Whiskered Yuhina",2,1258.25,1139.47375,1334.30875,489,489,489,769.25,650.47375,845.30875
"Barred Cuckoo-Dove",2,528.2,436.05,682.4,297.8,142,489.935,239.5,22.4599999999999,488.845
"Striated Yuhina",2,413.9,386.8,500.57,310.5,205.33625,403,121.575,17.085,224.5775
"Scarlet Minivet",2,405.9,314.25,417.01,125.375,121.99625,142,274.775,179.68875,292.9075
"Barn Swallow",2,298.75,206.65,636.52,112.6,105.85,136.5,177.8,84.39,516.705
"Rufous-bellied Niltava",2,1668.6,1542.9975,1739,186.5,122.1575,334.33625,1477.4,1306.2825,1578.1575
"Gray-chinned Minivet",2,1088.85,1088.85,1146.615,373.35,331.54,564.02,753.95,526.2325,809.2625
"White-collared Blackbird",2,2331.7,2308.3,2374.9075,1563.275,1404.5625,1733.6,761.5,597.96875,917.32
"Blue-fronted Redstart",2,1841.4,1476.6,2203.53875,1067,907.3825,1074,824.05,422.8,1209.10125
"Black-chinned Yuhina",0,499.8,450.75,593.8,624.15,496.24625,696.05125,-123.7,-210.37,25.9637499999999
"Yellow-bellied Warbler",0,393.75,336,441.1375,231.6,143.5,489,153.6,-105.115,272.81625
"Cattle Egret",0,52.75,46,78.9025,69.3,46,86.50875,-7.325,-35.35,27
"Gray-backed Shrike",2,463.9,398.85,557,128.95,118,142,334,266.9825,426.8
"Gray-headed Woodpecker",0,202,153.5,306,250,145.15,311.6,-47.2,-133.845,71.085
"Mountain Imperial-Pigeon",2,256,166,323,138.6,107.77375,142,122.95,28.5,201.375
"Long-tailed Broadbill",2,317,244.3,440,142,134,206.7075,173.05,85.0175,298
"Gray Treepie",1,408.4,349.18,430.56375,493.125,488.64125,633,-102.75,-247.36,-59.49625
"Red-whiskered Bulbul",0,92.4,78.75,124.9025,84,76,115.9025,7.65,-27.33,46.305
"Large Cuckooshrike",0,90.3,81.5125,133.525,99.8,99.04,122.315,-8.69999999999999,-18.2475,11.25
"Rufous-necked Laughingthrush",1,173.75,163.41,195.59,244,217.5,312.18,-71,-137.81875,-37.5575
"Asian Openbill",1,44,44,44,68.775,68.46625,69.08375,-24.775,-25.08375,-24.46625
"Chestnut-tailed Starling",1,45.65,44,75,79.6,68,93.85625,-33.025,-45.2175,-4.88000000000002
"Velvet-fronted Nuthatch",2,183.7,157.6,322.135,118.4,95,162.9325,63.825,11.38625,213.7025
"Great Myna",2,171.55,161.6825,196.25625,92.25,62.85,117.76375,82.575,50.3425,122.00625
"Bar-winged Flycatcher-shrike",1,343.35,197,450.36,489,372.94,531,-141.05,-295.55,-2.15000000000006
"Greenish Warbler",2,515,515,515,94.15,76,132.09375,420.9,382.90625,439
"Lesser Yellownape",2,316.45,272.33375,431.4625,142,126.2975,180,175.125,121.7925,290.70625
