"group.id","LOCALITY.ID","LATITUDE","LONGITUDE"
"G6285535","L13569371",32.6921795,75.1465087
"G6285660","L13649348",32.71985,74.86782
"G6285662","L13649220",32.72028,74.867454
"G6285801","L3353046",32.7191469,74.869101
"G6285802","L13566998",34.0125476,74.8128196
"G6285846","L13502011",34.1987321,74.8310781
"G6285851","L13502011",34.1987321,74.8310781
"G6285853","L13502011",34.1987321,74.8310781
"G6286025","L13648980",34.1475258,74.9216958
"G6286026","L13649461",34.1421775,74.9302517
"G6286027","L13649308",34.139185,74.9301167
"G6286028","L13648980",34.1475258,74.9216958
"G6286029","L13648980",34.1475258,74.9216958
"G6286030","L8536715",34.1602579,74.910117
"G6286031","L13606570",33.8939028,75.0593917
"G6286032","L13649322",33.9247722,75.1206581
"G6286087","L13650245",34.1427718,74.8611082
"G6286106","L13649150",33.3168191,74.8680231
"G6286108","L13649171",33.3178157,74.8609257
"G6286110","L13649285",33.3196925,74.8610088
"G6286112","L13649171",33.3178157,74.8609257
"G6286113","L13649171",33.3178157,74.8609257
"G6286115","L13649171",33.3178157,74.8609257
"G6286117","L13649171",33.3178157,74.8609257
"G6286118","L13649171",33.3178157,74.8609257
"G6286119","L13649171",33.3178157,74.8609257
"G6286121","L13649171",33.3178157,74.8609257
"G6286123","L13649171",33.3178157,74.8609257
"G6286123","L13607580",33.3113656,74.8550553
"G6286191","L3934811",34.0009447,74.9302769
"G6286230","L13650760",34.2690735,74.8851222
"G6286348","L13566950",33.9628312,74.8377331
"G6286350","L13566950",33.9628312,74.8377331
"G6286351","L13566950",33.9628312,74.8377331
"G6286414","L13651008",32.572818,74.710262
"G6286653","L13652717",33.8985543,75.1338331
"G6288231","L6242617",32.6925907,75.1487803
"G6288233","L13647684",32.6904203,75.1445158
"G6288237","L13647684",32.6904203,75.1445158
"G6288238","L13648273",32.6883119,75.1474673
"G6288242","L13648273",32.6883119,75.1474673
"G6288243","L6242617",32.6925907,75.1487803
"G6288244","L6242617",32.6925907,75.1487803
"G6288248","L6242617",32.6925907,75.1487803
"G6288250","L13650320",32.7571219,75.1176364
"G6288259","L13650588",32.7541078,75.1238898
"G6288282","L6212006",32.7700996,75.041728
"G6288435","L13665451",33.846924,74.751782
"G6288436","L13665078",33.808933,74.708694
"G6292038","L13669851",33.3074319,75.7731095
"G6292039","L13556639",33.3121689,75.7773036
"G6292041","L13673685",33.3236794,75.7549381
"G6292043","L13672557",33.3211334,75.7604313
"G6292044","L13672019",33.3131482,75.7503855
"G6292046","L13671000",33.2831115,75.7712429
"G6292047","L13669851",33.3074319,75.7731095
"G6292048","L13556639",33.3121689,75.7773036
"G6292049","L13556639",33.3121689,75.7773036
"G6292344","L13689726",32.764025,74.871407
"G6292345","L5807697",32.7508279,74.8659253
"G6292346","L13688517",32.718137,74.865684
"G6292482","L13690031",34.240762,74.652354
"G6292536","L13690225",32.758224,74.872066
"G6293058","L13690191",33.311154,74.8516888
"G6293060","L13690191",33.311154,74.8516888
"G6293061","L13690191",33.311154,74.8516888
"G6293062","L13690191",33.311154,74.8516888
"G6293063","L13690191",33.311154,74.8516888
"G6293064","L13690191",33.311154,74.8516888
"G6293065","L13690191",33.311154,74.8516888
"G6293066","L13690106",33.3123125,74.8537342
"G6293085","L3823608",34.1025659,74.711194
"G6293086","L3823608",34.1025659,74.711194
"G6293285","L3353046",32.7191469,74.869101
"G6294021","L14891454",32.717152,74.870527
"G6294022","L4012182",32.5411713,74.6910372
"G6294246","L13632690",33.3684103,75.7984804
"G6294249","L13673685",33.3236794,75.7549381
"G6294251","L13672557",33.3211334,75.7604313
"G6294257","L13669851",33.3074319,75.7731095
"G6294259","L13556639",33.3121689,75.7773036
"G6294262","L13556639",33.3121689,75.7773036
"G6294550","L6869222",34.1415037,75.0340462
"G6294551","L6925119",34.116616,74.8807144
"G6294552","L13605771",34.0554884,74.8052886
"G6294553","L13566254",34.026819,74.7529388
"G6294557","L7164666",34.0121422,74.7677028
"G6294558","L5448530",34.1416014,74.6477249
"G6294591","L13566254",34.026819,74.7529388
"G6294592","L4726282",34.0155967,74.7699895
"G6294593","L4726282",34.0155967,74.7699895
"G6294596","L5448530",34.1416014,74.6477249
"G6294597","L13566254",34.026819,74.7529388
"G6294598","L13566254",34.026819,74.7529388
"G6294599","L13566254",34.026819,74.7529388
"G6294600","L1108461",34.1200937,74.8618591
"G6294601","L2743097",34.1408841,75.0378036
"G6294602","L13566254",34.026819,74.7529388
"G6299863","L4726282",34.0155967,74.7699895
"G6303010","L11514700",34.0798303,74.8003452
"G6303560","L3353046",32.7191469,74.869101
"G6303799","L13567060",32.7317453,74.8507985
"G6303800","L10810152",32.7315146,74.8482377
"G6303801","L13567398",32.7307945,74.8493976
"G6303802","L10810152",32.7315146,74.8482377
"G6303803","L10810152",32.7315146,74.8482377
"G6303804","L13567060",32.7317453,74.8507985
"G6303806","L10675125",33.7635185,74.0945506
"G6303807","L10810152",32.7315146,74.8482377
"G6303808","L13605901",32.7330796,74.8515368
"G6303809","L10810152",32.7315146,74.8482377
"G6303810","L10810152",32.7315146,74.8482377
"G6303811","L6940540",32.7369205,74.8459657
"G6303813","L10359051",32.7329797,74.8515663
"G6303814","L10810152",32.7315146,74.8482377
"G6303815","L13720137",33.7647157,74.094399
"G6305880","L13741871",33.1229593,74.3439621
"G6313654","L11514717",34.2485436,74.6714115
"G6323589","L13801222",34.116968,74.645341
"G6323691","L11514717",34.2485436,74.6714115
"G6327775","L3823608",34.1025659,74.711194
"G6328230","L13812168",33.1249358,74.3463895
"G6334032","L13396413",34.2230449,75.0017661
"G6345656","L13786066",33.1025511,74.3618256
"G6357254","L3932039",34.0860522,74.8864509
"G6367989","L11514700",34.0798303,74.8003452
"G6368477","L13899763",33.1399519,75.5575196
"G6602711","L13606259",33.9706086,74.9082622
"G6743025","L8529456",34.1078911,74.8772097
"G6743072","L14671067",34.0897791,74.9088416
"G6764484","L15020412",34.1353699,74.8639389
"G6780910","L15033393",33.1218656,74.3457511
"G6780914","L15035929",33.1228048,74.344296
"G6781641","L3752916",34.3014363,75.2948427
"G6782824","L15068591",34.29597,75.212217
"G6797971","L5448530",34.1416014,74.6477249
"G6828508","L1108461",34.1200937,74.8618591
"G6854758","L15265361",34.245319,74.6599255
"G6911205","L12442433",32.7190432,74.8644737
"G6915347","L15474093",33.9227325,74.8327483
"G6915369","L15475041",33.8544625,74.6957458
"G7005161","L1108461",34.1200937,74.8618591
"G7015336","L15843540",33.939472,74.816502
"G7015365","L15844229",33.916802,74.83147
"G7015367","L15843279",34.11927,74.874783
"G7015368","L15843327",34.085859,74.846229
"G7023330","L15846657",34.306824,75.259281
"G7023333","L15847197",34.245592,74.674193
"G7023334","L15844672",33.837132,74.657453
"G7023335","L15844353",33.838582,74.750129
"G7023336","L15842626",34.100743,74.712085
"G7023337","L15844229",33.916802,74.83147
"G7044851","L15951790",33.8345499,74.6658428
"G7049468","L15020412",34.1353699,74.8639389
"G7069983","L11121009",34.1070447,74.8860023
"G7070164","L16042153",34.088016,74.8375467
"G7073981","L11671075",33.840674,74.6581328
"G7076777","L16062364",34.1247614,74.8879131
"G7076886","L16062364",34.1247614,74.8879131
"G7077143","L1108506",34.0819955,74.8401976
"G7077371","L3823608",34.1025659,74.711194
"G7080041","L13396413",34.2230449,75.0017661
"G7080425","L16073049",34.3094802,75.2722646
"G7083073","L6925119",34.116616,74.8807144
"G7083074","L15421737",33.9085491,74.8769529
"G7088821","L3752916",34.3014363,75.2948427
"G7088822","L3752916",34.3014363,75.2948427
"G7093106","L7638085",34.0875887,74.8486464
"G7101542","L3823608",34.1025659,74.711194
"G7104025","L3823608",34.1025659,74.711194
"G7106102","L11826915",34.1288581,74.8845878
"G7106103","L1108506",34.0819955,74.8401976
"G7106105","L16123183",33.958369,74.809515
"G7106107","L1108461",34.1200937,74.8618591
"G7116633","L14042264",34.1028024,74.7121425
"G7141974","L16226324",34.093876,74.906136
"G7141975","L16226310",34.096024,74.715526
"G7142001","L5468756",34.0941213,74.8731807
"G7142391","L6942050",32.5425993,74.6933214
"G7146093","L11045586",33.1235749,74.3437008
"G7263256","L14959244",34.124082,74.910921
"G7282994","L1108461",34.1200937,74.8618591
"G7506782","L8128542",32.3617695,75.5223541
"G7523693","L17090470",33.0410689,74.5824712
"G7523693","L17090497",33.0418251,74.6027859
"G7550430","L1108461",34.1200937,74.8618591
"G7559500","L13144858",34.0199658,74.7910404
"G7560149","L13566254",34.026819,74.7529388
"G7560151","L11514700",34.0798303,74.8003452
"G7590261","L17190045",33.11421,75.5743633
"G7590262","L17189997",33.1296633,75.564235
"G7590264","L17192812",32.9899076,75.7183014
"G7613722","L17210170",32.5415611,75.0228714
"G7618934","L6082770",32.7290611,74.9100637
"G7632903","L4015200",32.5562449,74.6759176
"G7638574","L7768352",34.0916184,74.8806381
"G7638580","L7768352",34.0916184,74.8806381
"G7638586","L17290798",34.089619,74.73452
"G7638589","L17291192",34.272243,74.882629
"G7638601","L17292066",34.25221,75.110061
"G7638612","L11671075",33.840674,74.6581328
"G7638623","L17293453",33.917616,74.832583
"G7638627","L7768352",34.0916184,74.8806381
"G7638653","L17293453",33.917616,74.832583
"G7638660","L7768352",34.0916184,74.8806381
"G7638671","L17296017",34.097766,74.87378
"G7638673","L2743097",34.1408841,75.0378036
"G7638685","L17296560",34.118696,74.894
