Tree.name,Species,Median_S_upper,Median_diff_upper,Species,Median_S_median,Median_diff_median,Species,Median_S_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Garrulax_affinis,Black-faced Laughingthrush,4041.8,121.575,Black-faced Laughingthrush,3140,157.5,Black-faced Laughingthrush,2140,392.9,1901.8,0.03007942,0.050159236,0.183598131
Garrulax_albogularis,White-throated Laughingthrush,3233,-63.85,White-throated Laughingthrush,2563,230,White-throated Laughingthrush,1680.15,180,1552.85,-0.019749459,0.089738588,0.107133292
Garrulax_caerulatus,Gray-sided Laughingthrush,2853.75,221.925,Gray-sided Laughingthrush,2121,199.75,Gray-sided Laughingthrush,1653.4,89.7,1200.35,0.077766097,0.094177275,0.054251845
Garrulax_erythrocephalus,Chestnut-crowned Laughingthrush,3146,140.65,Chestnut-crowned Laughingthrush,2501,141.25,Chestnut-crowned Laughingthrush,1739,94.45,1407,0.044707565,0.056477409,0.054312823
Garrulax_imbricatus,Bhutan Laughingthrush,3017,338.025,Bhutan Laughingthrush,2232,198,Bhutan Laughingthrush,1606.3,49.025,1410.7,0.112040106,0.088709677,0.030520451
Garrulax_leucolophus,White-crested Laughingthrush,1814,-227.05,White-crested Laughingthrush,987,4.5,White-crested Laughingthrush,444.6,-51.875,1369.4,-0.12516538,0.004559271,-0.116677913
Garrulax_monileger,Lesser Necklaced Laughingthrush,1507,108.825,Lesser Necklaced Laughingthrush,864.5,262,Lesser Necklaced Laughingthrush,265.7,123.7,1241.3,0.072213006,0.303065356,0.465562665
Garrulax_ocellatus,Spotted Laughingthrush,3434,-140,Spotted Laughingthrush,2843.5,-4.5,Spotted Laughingthrush,1760.15,-401,1673.85,-0.040768783,-0.001582557,-0.227821492
Garrulax_pectoralis,Greater Necklaced Laughingthrush,1576.8,-281.6,Greater Necklaced Laughingthrush,663,-24,Greater Necklaced Laughingthrush,178.45,24,1398.35,-0.178589548,-0.036199095,0.134491454
Garrulax_squamatus,Blue-winged Laughingthrush,2526.2,-489.55,Blue-winged Laughingthrush,1977.5,332,Blue-winged Laughingthrush,1359,698.8,1167.2,-0.19378909,0.167888748,0.514201619
Garrulax_striatus,Striated Laughingthrush,2771,50.55,Striated Laughingthrush,1989.25,236.5,Striated Laughingthrush,1209.025,-113.45,1561.975,0.018242512,0.118889029,-0.093835942
Garrulus_glandarius,Eurasian Jay,3140,138.9,Eurasian Jay,2616,78,Eurasian Jay,1821.7,-24.1,1318.3,0.044235669,0.029816514,-0.013229401
Glaucidium_brodiei,Collared Owlet,2839.35,41.2,Collared Owlet,1816.5,672,Collared Owlet,648.4,200.775,2190.95,0.014510363,0.369942197,0.309646823
Gracula_religiosa,Common Hill Myna,1052.2,-485.85,Common Hill Myna,232,44,Common Hill Myna,87.25,-7.675,964.95,-0.461746816,0.189655172,-0.087965616
Halcyon_smyrnensis,White-throated Kingfisher,1434.35,9.35,White-throated Kingfisher,981,186,White-throated Kingfisher,82.1,-6,1352.25,0.006518632,0.189602446,-0.073081608
Harpactes_erythrocephalus,Red-headed Trogon,2287.55,152.6,Red-headed Trogon,1278,565,Red-headed Trogon,360,96.8,1927.55,0.066708924,0.442097027,0.268888889
Hemipus_picatus,Bar-winged Flycatcher-shrike,2086.25,-51.25,Bar-winged Flycatcher-shrike,1035.25,192.25,Bar-winged Flycatcher-shrike,278.575,-93.375,1807.675,-0.024565608,0.185703936,-0.33518801
Hemixos_flavala,Ashy Bulbul,1723.7,65.15,Ashy Bulbul,695,58,Ashy Bulbul,216.2,52,1507.5,0.0377966,0.083453237,0.240518039
Heterophasia_capistrata,Rufous Sibia,2919.9,97.625,Rufous Sibia,2251,0,Rufous Sibia,1103.5,518.7,1816.4,0.033434364,0,0.470049841
Heterophasia_picaoides,Long-tailed Sibia,1739,0,Long-tailed Sibia,960,108.5,Long-tailed Sibia,433.5,-96.95,1305.5,0,0.113020833,-0.223644752
Heterophasia_pulchella,Beautiful Sibia,3046,581.75,Beautiful Sibia,2132,393,Beautiful Sibia,1377,-65.25,1669,0.190988181,0.184333959,-0.047385621
Hypsipetes_leucocephalus,Black Bulbul,2740.2,46,Black Bulbul,1656,62,Black Bulbul,346,114,2394.2,0.016787096,0.037439614,0.329479769
