"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Red-whiskered Bulbul",2,515,506.3625,515,258,250,312,257,199.975,265
"Large Cuckooshrike",0,332,292.1,383.775,307,234.8,433.35,-17,-51.675,95.1
"Rufous-necked Laughingthrush",1,557,515,595,815,735.5,919,-251.5,-362,-143.9125
"Chestnut-tailed Starling",2,306,257.5,318.5375,175,144.4875,216.0125,125,70,165
"Velvet-fronted Nuthatch",0,948,746.3125,1067,898,852,948,19.5,-131.2,171.1125
"Great Myna",2,368,309,419,253.25,218.9375,291.5,117.25,47.8375,173.1
"Bar-winged Flycatcher-shrike",0,1153.5,911,1267.5,948,854,1037,205,-35.2,343
"Greenish Warbler",2,2729,2651,3237.25,728,463.125,935,2101.25,1770,2625.5
"Lesser Yellownape",0,886,628,934.5,902,833,973,-31.5,-304.525,57.1249999999999
"Mountain Tailorbird",2,1739,1598.525,1920.7,610,489,638.5,1129,984.375,1406.825
"White-bellied Erpornis",2,1122.5,985.7,1345,898,833,948,289.5,53.3,468.4
"Collared Owlet",2,1650,1425.5,1739,975,844.5,1305,644,246,867.1
"Himalayan Cutia",2,1911,1739,2036.75,1662,1395.075,1739,264.25,11.5,437.05
"Chestnut-headed Tesia",2,2431.5,2421,2464,1507,1449.5,1607,924,824,992.7125
"Chestnut-bellied Rock-Thrush",2,2290,2160,2454,1257.5,1138,1313,1030.25,873.9375,1248.2
"Darjeeling Woodpecker",0,2580.5,2501.75,2641.375,2589,2507,2722,-12.5,-154.875,87.5
"Short-billed Minivet",2,2011,2003,2030.5,540,504,750.625,1463,1257.575,1514.8
"Stripe-throated Yuhina",2,2501,2488,2627.225,1739,1739,1867,761,633.9875,879
"Whistler's Warbler",2,2488,2443,2561.5,1067,948,1301,1428.5,1165,1552
"Yellow-browed Tit",0,2372,2303,2487,2438,2333,2463,-45.5,-140,71.9000000000001
"Fire-tailed Sunbird",2,3439.75,3383,3599,1860,1701,1945,1624.5,1473,1827.5
"Red-billed Chough",2,3057,2962,3173,2739,2677,2848,299,121,439.075
"Rufous-vented Tit",2,3650.5,3642,3667.5,3389,3383.5,3407,260,241,278.5
"Eurasian Nutcracker",2,2881,2847.5,2902,2819,2805,2858,66,19.5,91.5375
"Fulvous-breasted Woodpecker",1,190.5,139,436,489,293,489,-294,-350,-44
"Snow Pigeon",2,4049,3951,4166.5,3138.5,2929.4375,3363.5,933.5,657.875,1205
"Rufous-breasted Accentor",2,3919.5,3796,4072.5,2530,2479.4375,2539,1389.5,1263.5,1542.5
"Yellow-billed Blue-Magpie",0,2558,2557,2571,2558,2558,2598,0,-40,8
"Black-faced Warbler",0,2100,2008.125,2303,1978,1919.5,2091,123,-31,322.4
"White-throated Laughingthrush",2,2558,2558,2571,2320,2142,2388.0375,238,170,414.05
"Dark-breasted Rosefinch",2,3748,3710,3856,2137,2114,2270.5,1586,1455.5,1719
"Red-headed Bullfinch",2,3319,3099,3426,2745,2677,2906.95,577.5,348,737.7
"Red-billed Leiothrix",2,2082,2040.4625,2138.5,1837,1802.5,1867,252,190.9625,321
"Scaly-breasted Munia",0,1207,754.5,1222.775,1071,383,1223,113.5,-361.5,788.15
"Rufous Treepie",0,155.5,137,178,185,142,225.5,-27,-76,24.0125
"Green-billed Malkoha",0,428.75,376.3125,447,540,385,670.5,-117.5,-256.5625,36.5125
"Long-tailed Shrike",2,1790.5,1653.5,1867,1069,948,1197.025,723,543.9625,879.5
"Himalayan White-browed Rosefinch",2,4049,4032,4097.5,3407,3407,3407,642,625,690.5
"Red-faced Liocichla",1,1473,1414,1601,1645,1582.1375,1702,-163.5,-249.5,-3.1749999999999
"Black Drongo",0,163.5,139,199.5,150,135.5,208,6,-50.5,57
"House Sparrow",0,214,159,306,254,149,312,-39,-124.5125,90.1124999999999
"Jungle Myna",1,86,75,121,147,137,199.5375,-62.5,-116,-30.4875
"Coal Tit",2,3267,3146,3418,2815.5,2739,2962,455,230.7,626.025
"Eurasian Hoopoe",2,2338,2309,2387,1206,296.5,1227,1137,1095.0625,2041.4375
"Black-faced Laughingthrush",2,3326,3233.5,3361,2848.5,2739,2881.0125,493,374,587
"Spotted Laughingthrush",1,2698,2613.5,2720,2826,2739,2902,-132.5,-247,-29.475
"Cinereous Tit",0,179,158.2875,199,154,139.2875,187.2,26.5,-10.425,58
"Kalij Pheasant",2,2079.5,1935,2368,1844.5,1693.5,1935,244.75,42,523.5
"Rock Pigeon",0,1634,1567.75,1673,2020.5,1499.5,2248,-383,-650.875,112
"White-winged Grosbeak",2,3637.5,3637.5,3637.5,3221,3221,3282.5,416.5,355,416.5
"Paddyfield Pipit",0,209.5,208,251.95,250,137.4625,250,-39,-42,108.325
"Hoary-throated Barwing",1,2074.5,1873,2325,2438,2375.5,2549,-373.5,-580.3125,-124
"Gray-winged Blackbird",2,2114,1979,2255,1800,1730,1886,294,139.625,473.5
"Crimson Sunbird",0,598,467,703.5,651,577.5,767,-84.5,-251.25,76.0125
"Rose-ringed Parakeet",0,137,124,139,154,137,218,-17,-81,2
"Brown Parrotbill",0,2641,2558,2677,2606.5,2569.5,2677,2,-112,96.5
"House Crow",0,1126,1024,1258,1085,525.5,1315.1,28,-263.075,573.175
"Himalayan Prinia",1,1207,1198,1235,1289.5,1253.5,1348.5,-77.75,-145,-35.8375
"Eurasian Jay",2,2676.5,2559,2677,2538,2471,2538,139,21,203
"White-browed Fulvetta",1,2729,2721,2749,2809,2755,2829.5,-75.5,-108.5125,-18
"Rusty-cheeked Scimitar-Babbler",0,1358,1242,1450.2,1309,1271.5,1374.5,36,-81.5375,141
"Indian Peafowl",0,208,177,310.5,232,196.5,258,-20,-60.025,90.5125
"Jungle Babbler",1,137,128,139,250,249.9125,258,-113,-122.0125,-110.9875
"Eurasian Collared-Dove",2,139,139,139,112,110,120.5,27,18.5,29
"Purple Sunbird",0,139,139,139,229,126.5,250,-90,-111,12.5
