Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Species,Median_S_median,Median_W_median,Median_diff_median,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Ocyceros_birostris,Indian Gray Hornbill,1011,1082.6,-122.425,Indian Gray Hornbill,602,602,0,Indian Gray Hornbill,272,272,0,739,-0.121092977,0,0
Oriolus_traillii,Maroon Oriole,2417,2417,0,Maroon Oriole,1974,1332,646,Maroon Oriole,614.35,377.875,244.175,1802.65,0,0.327254306,0.397452592
Oriolus_xanthornus,Black-hooded Oriole,705.725,666,43.85,Black-hooded Oriole,388,448.5,-55,Black-hooded Oriole,272,272,0,433.725,0.062134684,-0.141752577,0
Orthotomus_sutorius,Common Tailorbird,1164,1249.4,-84,Common Tailorbird,602,602,0,Common Tailorbird,272,272,0,892,-0.072164948,0,0
Otus_spilocephalus,Mountain Scops-Owl,2417,2417,0,Mountain Scops-Owl,1946,2108,-165,Mountain Scops-Owl,1413,1443.7,-32.05,1004,0,-0.084789311,-0.022682236
Parus_ater,Coal Tit,3157.4,2933.8,224.65,Coal Tit,2510,2200,302,Coal Tit,1415,1374.725,62.45,1742.4,0.071150314,0.120318725,0.044134276
Parus_major,Cinereous Tit,3487,3244.45,235.2,Cinereous Tit,1309,1109,203,Cinereous Tit,388,372,16,3099,0.067450531,0.155080214,0.041237113
Parus_monticolus,Green-backed Tit,2627,2545.15,80.95,Green-backed Tit,2173,2044,127,Green-backed Tit,1365,1278.8,91.15,1262,0.030814617,0.058444547,0.066776557
Parus_rufonuchalis,Rufous-naped Tit,3199.1,3341.6,-112.8,Rufous-naped Tit,2677,2635,35,Rufous-naped Tit,1681.7,1656.2,25.9,1517.4,-0.035259917,0.013074337,0.015401082
Parus_xanthogenys,Himalayan Black-lored Tit,2318,2153,156.1,Himalayan Black-lored Tit,1542,1542,-14,Himalayan Black-lored Tit,871.5,784.9,88,1446.5,0.067342537,-0.009079118,0.10097533
Passer_domesticus,House Sparrow,3577,2434.5,1143.025,House Sparrow,1393,1256,139,House Sparrow,272,272,0,3305,0.319548504,0.099784637,0
Passer_montanus,Eurasian Tree Sparrow,1946,1769,121.7,Eurasian Tree Sparrow,943.5,923,25.75,Eurasian Tree Sparrow,769.55,904.475,-0.55,1176.45,0.062538541,0.027291998,-0.000714703
Passer_rutilans,Russet Sparrow,2677,2417,260,Russet Sparrow,1862,1804,58.25,Russet Sparrow,1110,1025,89,1567,0.097123646,0.031283566,0.08018018
Pavo_cristatus,Indian Peafowl,1413,1293.125,71.9,Indian Peafowl,386,388,-2,Indian Peafowl,272,254.9,17.1,1141,0.050884643,-0.005181347,0.062867647
Pellorneum_ruficeps,Puff-throated Babbler,1122.1,1255,-84.95,Puff-throated Babbler,602,602,0,Puff-throated Babbler,354,422,-75.9,768.1,-0.075706265,0,-0.21440678
Pericrocotus_cinnamomeus,Small Minivet,1448.6,987.05,432.3,Small Minivet,485,440,36.25,Small Minivet,272,263.7,5.325,1176.6,0.298426067,0.074742268,0.019577206
Pericrocotus_ethologus,Long-tailed Minivet,2893,2173,720,Long-tailed Minivet,2011,1053,969.75,Long-tailed Minivet,478.575,332.875,133.75,2414.425,0.248876599,0.482222775,0.279475526
Pericrocotus_flammeus,Scarlet Minivet,2275,2067.45,221.25,Scarlet Minivet,1407.5,666,737.5,Scarlet Minivet,382.8,354,35.7,1892.2,0.097252747,0.523978686,0.093260188
Phoenicurus_caeruleocephala,Blue-capped Redstart,3257,2697,558.95,Blue-capped Redstart,2458,1952,501.5,Blue-capped Redstart,1254.5,1052.175,209.475,2002.5,0.171614983,0.204027665,0.166978876
