"","Value","Std.Error","t.value","p.value","dataset","Variable","adjP"
"24",-0.312162165537954,1.27221397066754,-0.245369232483873,0.806490994419618,"05.q2.sam60","HWI",0.915495417706884
"25",-61.5488500260371,39.2047941294717,-1.56993172372683,0.118444211474822,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.276369826774585
"26",14.3648284221528,23.3138998390076,0.616148671880211,0.538688703201222,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.729836307562946
"27",57.6352696358193,33.5128037395408,1.71979850100746,0.0874396484202144,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.224844810223408
"28",-101.917268255255,76.1442737953702,-1.33847580619321,0.182676455630866,"05.q2.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.391495758634301
"29",3823.03378241603,89.1277186463206,42.8938812804882,4.66135743042666e-107,"05.q3.sam30","(Intercept)",4.05118394809479e-106
"30",-121.260156088806,2.41138255918464,-50.2865692658106,1.66812821733467e-120,"05.q3.sam30","ThermalRegime",3.00263079120241e-119
"31",0.583656076844035,1.2827406009294,0.455007096852748,0.649565390817115,"05.q3.sam30","HWI",0.797356495775487
"32",-65.3637054586624,37.177956569133,-1.75813066372052,0.0801548415598447,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.210406459094592
"33",-5.05929527405094,23.9879116355582,-0.210910201392912,0.833158041338837,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.929008081492862
"34",26.7030553499985,35.5401239069135,0.751349528773141,0.453267794027769,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.706410436402098
"35",-41.5945374820038,71.4799164228729,-0.581905233855225,0.561243011619103,"05.q3.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.736631452750073
"36",3928.52366494,86.7585463249497,45.281114441751,3.86867878899158e-93,"05.q3.sam60","(Intercept)",2.215697851877e-92
"37",-123.848436453094,2.58218736660889,-47.9626064532026,7.28774929799199e-97,"05.q3.sam60","ThermalRegime",5.10142450859439e-96
"38",-1.0889968003265,1.19043608493457,-0.914788130255949,0.361679433278975,"05.q3.sam60","HWI",0.660458095552911
"39",-63.8434141110852,38.8199834513734,-1.64460178585745,0.102015280899887,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.25611599917931
"40",17.7245881528131,24.6406909173586,0.719321881527544,0.47299193216532,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.706410436402098
"41",61.8581880899357,34.8239663299228,1.77631081720819,0.0775821815425048,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.20798627392246
"42",-49.6260454550578,65.3792242914851,-0.759049162679053,0.448939932104394,"05.q3.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.706410436402098
"43",4198.82544427207,61.1031422462215,68.7170133960125,1.22656967308978e-133,"95.q1.sam30","(Intercept)",3.09095557618625e-132
"44",-128.694805420292,1.93448196938881,-66.5267536512387,3.89549898507755e-131,"95.q1.sam30","ThermalRegime",8.18054786866286e-130
"45",-0.108148826556487,0.968532300860557,-0.111662591387396,0.911211999121624,"95.q1.sam30","HWI",0.95999940237084
"46",17.6616514401457,34.1498789518746,0.517180499088597,0.605647949369444,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.782082359359724
"47",5.12168399371893,20.1323518361531,0.254400679831234,0.799468577722732,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.915495417706884
