Tree.name,GENUS,SPECIFICC,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Median_S_upper,Median_W_upper,Median_diff_upper,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Pnoepyga_albiventer,Pnoepyga,albiventer,Scaly-breasted Cupwing,1090.8,951.95,229.1,1919,1860.5,60,3220,2437.25,782.85,2129.2,0.243121118,0.031266285,0.210029336
Chaimarrornis_leucocephalus,Chaimarrornis,leucocephalus,White-capped Redstart,434,372,62,1757,1237,519,3484,2637.2,847.1,3050,0.243140069,0.295389869,0.142857143
Turdus_rubrocanus,Turdus,rubrocanus,Chestnut Thrush,1074.45,1116,-41.55,1977.5,1884,93.5,3326.5,2499,827.5,2252.05,0.248759958,0.047281922,-0.038670948
Phylloscopus_humei,Phylloscopus,humei,Hume's Warbler,279,272,7,1262.5,602,660.5,2417,1814,603,2138,0.24948283,0.523168317,0.025089606
Corvus_monedula,Corvus,monedula,Eurasian Jackdaw,1579,1579,0,1603,1601.5,2,2696.8,1995.5,685.9,1117.8,0.254338475,0.001247661,0
Phylloscopus_pulcher,Phylloscopus,pulcher,Buff-barred Warbler,1337.5,758,577.05,2067,1890.5,178,3248,2417,832.275,1910.5,0.256242303,0.086115143,0.431439252
Phylloscopus_chloronotus,Phylloscopus,chloronotus,Lemon-rumped Warbler,602,453.575,148.95,1877,1534,362,3100,2297,805.9,2498,0.259967742,0.192860948,0.247425249
Dicrurus_hottentottus,Dicrurus,hottentottus,Hair-crested Drongo,354,317.6,38.15,602,653,-51,1309,964.225,342,955,0.261268144,-0.084717608,0.107768362
Prunella_strophiata,Prunella,strophiata,Rufous-breasted Accentor,1252.725,873.1,366.5,1947.5,1795,157,3504.75,2555.5,932.9,2252.025,0.266181611,0.080616175,0.292562214
Carpodacus_rodochroa,Carpodacus,rodochroa,Pink-browed Rosefinch,1415,1283.2,139,2049,1922,116,3425,2507.25,915,2010,0.267153285,0.056612982,0.098233216
Niltava_macgrigoriae,Niltava,macgrigoriae,Small Niltava,1239.75,388,839.825,2173,1213.5,959.5,2417,1757,660,1177.25,0.273065784,0.441555453,0.677414801
Leucosticte_nemoricola,Leucosticte,nemoricola,Plain Mountain-Finch,1720.05,1581.05,142.25,3671.5,2125,1540,4529,3255.25,1273.75,2808.95,0.2812431,0.419447092,0.082701084
Emberiza_stewarti,Emberiza,stewarti,White-capped Bunting,413.35,422,-1.85,1592,1094,490.5,2934,2107.8,825.8,2520.65,0.281458759,0.308103015,-0.004475626
Phoenicurus_erythrogastrus,Phoenicurus,erythrogastrus,White-winged Redstart,2857,2806.4,50.6,3517,3237,280,5142.425,3668.6,1472.9,2285.425,0.28642129,0.079613307,0.017710886
Acridotheres_ginginianus,Acridotheres,ginginianus,Bank Myna,258.8,245,13,447,368,80,1272.4,905,365.9,1013.6,0.287566803,0.178970917,0.050231839
Phoenicurus_frontalis,Phoenicurus,frontalis,Blue-fronted Redstart,1398,1255,143,2173,2014,153.5,3412.65,2417,995.65,2014.65,0.291752743,0.070639669,0.102288984
Minla_strigula,Minla,strigula,Chestnut-tailed Minla,1542,1316.5,230.6,2417,2011,406,3447,2417,1030,1905,0.29881056,0.167976831,0.149546044
Cettia_brunnifrons,Cettia,brunnifrons,Gray-sided Bush Warbler,852.1,598.7,259.75,2173,1610.5,600,3469.4,2417,1049.8,2617.3,0.302588344,0.276115969,0.304835113
Carpodacus_nipalensis,Carpodacus,nipalensis,Dark-breasted Rosefinch,1821.2,1560.3,252.25,2417,2174,243,3484.2,2417,1067.2,1663,0.306296998,0.100537857,0.138507577
Streptopelia_orientalis,Streptopelia,orientalis,Oriental Turtle-Dove,602,388,214,2173,1184,977,3387,2331.6,1048.175,2785,0.309470032,0.449608836,0.355481728
Rhipidura_aureola,Rhipidura,aureola,White-browed Fantail,363,279.2,77.25,666,567.5,101,1400.6,928.5,455.45,1037.6,0.325182065,0.151651652,0.212809917
Dicrurus_leucophaeus,Dicrurus,leucophaeus,Ashy Drongo,494.05,272,222.05,1943,664,1279,2417,1625,792,1922.95,0.327678941,0.658260422,0.449448436
Chelidorhynx_hypoxantha,Chelidorhynx,hypoxantha,Yellow-bellied Fairy-Fantail,469.8,354,110.425,1366.5,711,647.25,3234.55,2138,1090,2764.75,0.336986598,0.473655324,0.235046828
