"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Twite",2,4102.8,4077.85,4162,3237,3237,3239.25,865.200000000001,840.2375,925
"Great Rosefinch",2,3492.3,3366,3669.95,3173.85,3172.95,3174.3,318.9,192.13875,495.66125
"Mountain Hawk-Eagle",2,1166.3,746.2675,1332,450.1,385.2,593.36125,725.075,269.6575,913.33875
"Bar-winged Flycatcher-shrike",0,372,372,388,354,326,372,18.55,0,53.85375
"Red-billed Blue-Magpie",0,666,660.9875,677.79,666,659.4875,690.605,0,-24.6049999999999,17.35125
"Spot-winged Grosbeak",2,1553.8,1515.5125,1793,1288,1281.1,1418.28,264.45,127.04,507.82
"White-crested Laughingthrush",1,386,386,386.4025,491,446,544.82,-105,-158.65375,-60
"Rufous-chinned Laughingthrush",0,666,647.95,692.125,744,666,987.305,-76.2,-320.5725,8.64999999999974
"Chestnut-headed Tesia",2,1326.3,1280.7,1714.5375,668.85,601.8075,886.395,676.5,449.85,1062
"Dusky Crag-Martin",2,591,509.21875,599,399.2,379.44875,403,193.025,112.955,212.045
"White-tailed Nuthatch",2,1546.65,1523.6,1586.09875,1412.4,1382.9775,1550.3075,145.7,20.895,197
"Eurasian Nutcracker",1,1558.95,1429.7,1795.60375,1862,1847.75,1912.50125,-308.1,-436.6,-62.24
"White-collared Blackbird",2,2417,2349,2484,1573.65,1470.4,1654.065,847.35,752.39,958.5
"Himalayan Swiftlet",2,600.05,538.7,902.53125,363.5,272,380.985,242.25,176.66375,536.52
"Yellow-browed Tit",0,1374,1373.4,1636.575,1381.2,1374.9,1556.20625,-6,-181.2125,254.1375
"Ashy-throated Warbler",2,1679.475,1573.2,2012.6075,1214.5,1162.2,1227.955,481.8,358.8975,810.155
"Greater Flameback",0,276.425,245.8,339.1025,297,290.4975,307.605,-20.75,-51.4,42.1125
"Striated Laughingthrush",2,1332,1332,1332,1248,1248,1274.055,84,57.945,84
"Large Gray Babbler",0,340.7,323.25,388.5,292.2,264.63,331.15,49.1,-0.689999999999986,103.71
"Small Niltava",2,1332,1296.9,1332,441,401.6,541.02,891,789.04375,928.95125
"Black-hooded Oriole",0,248.2,245,272,259,245,272,-7.69999999999999,-27,19
"Stork-billed Kingfisher",0,308.75,256.7,359.03,307.4,264.14625,353.80875,4.47500000000002,-62.10125,63.5125
"Jungle Owlet",0,245,245,245,245,245,261.205,0,-16.205,0
"Rufous-bellied Woodpecker",0,1656.4,1583.38875,1743,1569.75,1542,1676.4025,86.7,-40.8499999999999,199.4
"Blue-bearded Bee-eater",0,245,245,245.4,308,245,370.605,-62.9,-125.605,0
"Changeable Hawk-Eagle",0,245,245,272,245,245,246.25,0,-0.759999999999985,27
"Himalayan Flameback",0,285,283.0175,351.195,327.5,315,370.45,-39.2,-84.41,21.2875
"Scarlet Minivet",2,590.625,426.1,733.1325,338.35,308.2,368,248,71.5,405.305
"Lineated Barbet",2,334,326,370.35125,301,290.085,321.05125,31.525,9.59500000000002,71
"Green-tailed Sunbird",2,2144.475,2049,2173,627.85,487.4025,801.3125,1513.225,1333.7475,1660.76125
"Oriental Pied-Hornbill",0,245,245,245,259,245,283.55875,-14,-38.55875,0
"Black-crested Bulbul",0,371.2,348,372,377.8,367.2,381,-9,-30.8,4.44249999999994
"Maroon Oriole",2,1356.75,669.2175,1381.65375,370.55,321.745,446.9675,968.95,303.8125,1050.76375
"Velvet-fronted Nuthatch",0,421,360.75,464.8,372,368.5,383.35,45.5,-16.3,91.975
"Black-faced Warbler",2,1580,1542,1786.005,1332,1312.5,1388,245.5,184.98,452.5
"Red-whiskered Bulbul",0,272,246.64875,272,249.9,245,272,17.5,-10.66375,27
"Greater Yellownape",0,483.4,429.75,601,562.8,461.3975,633.3075,-71.4,-169.75,76.96
"Ashy Bulbul",0,386,385.25,386,375.8,312.85,415.39,10.4,-29,73.15
"Blue-winged Minla",0,1221,878.36125,1332,1237.5,916.88625,1312.05,-1.5,-369.96625,341.22
"Mountain Bulbul",2,1332,1332,1332,1203.4,1165.6,1252.83,128.6,79.1699999999998,166.4
"Bronzed Drongo",2,659.55,595.4,937.225,420.65,403.43625,464.61125,229.95,155.4775,513.34125
"Streak-breasted Scimitar-Babbler",2,2173,1987.3425,2173,1756.65,1630,2109.2,394.15,23.5012500000002,543
