species,LONGITUDE,LATITUDE
species,75.5465623,33.1340311
species,95.355556,28.0007864
species,78.9211464,32.9151164
species,79.5692353,30.0038236
species,79.2457943,30.0956803
species,77.2168673,30.5038049
species,76.3709,31.75504
species,78.4292024,31.1504765
species,88.3573401,27.1670597
species,78.8216257,33.3827195
species,95.4023066,27.8596454
species,78.4785604,33.9310122
species,76.8541718,34.7879516
species,78.268919,33.583485
species,79.0446809,31.1790832
species,74.6911066,32.5410885
species,77.7810359,31.4959585
species,95.8780556,28.7769444
species,76.5410453,31.5307902
species,95.8276463,27.6327726
species,77.9706891,30.2813216
species,78.0459845,31.0217704
species,79.4255294,28.9816015
species,88.6960515,27.8267253
species,76.7111685,31.2332424
species,77.6270771,31.1183778
species,75.7088078,33.659373
species,78.4265364,33.7600393
species,88.8199568,27.7443155
species,88.2141638,27.9153256
species,89.3484442,26.4596385
species,80.2815826,29.7549136
species,79.1289471,29.1413444
species,77.902096,29.8731151
species,78.735432,35.826935
species,75.3562517,32.6321017
species,77.4173558,31.4326402
species,80.0262,29.7231
species,93.827523,27.6160905
species,77.9348619,30.1484152
species,89.2852723,26.6970562
species,88.2223606,27.3713862
species,88.6247703,27.341652
species,75.1979062,33.4328901
species,75.8113336,32.4945098
species,77.3404992,31.6265454
species,76.4694873,31.9765579
species,77.0418687,34.8032985
species,78.4071111,30.3155556
species,75.7819741,33.1451018
species,79.04604,32.60476
species,76.4504604,32.1388839
species,74.828316,33.2290014
species,80.104698,29.4282826
species,77.1888397,32.2474319
species,77.0329732,31.4590372
species,78.0876017,30.8818961
species,94.686324,28.272912
species,75.689624,32.135728
species,77.4878516,31.6902994
species,79.9015045,29.9383869
species,79.9739027,30.0736621
species,80.1475382,29.1069789
species,77.431643,34.053451
species,77.9886281,31.1968801
species,76.7714953,31.3578148
species,76.9880583,33.5631397
species,75.0158967,32.783977
species,79.9636764,28.9150551
species,77.115225,30.9048433
species,74.7855883,34.2732267
species,75.0117107,32.5574284
species,93.9723914,27.3235132
species,89.0163909,26.5886019
species,93.7450035,27.4039893
species,74.673021,33.837734
species,78.2975083,29.9310369
species,75.9668014,32.5452274
species,76.1330374,31.476043
species,88.7398499,26.5232122
species,78.6838675,29.5851763
species,78.2819803,30.8477623
species,78.5165901,29.902486
species,79.7123337,30.2517274
species,74.6197414,34.4923387
species,88.316877,27.663287
species,74.7714088,32.8142435
species,78.6461459,34.2246159
species,95.0398761,28.4345095
species,94.8884296,28.9933189
species,79.4507764,32.7009391
species,79.0607958,33.1067281
species,78.572316,33.6356814
species,78.6027591,33.4557971
species,74.9363739,34.4204316
species,77.4715117,34.5853768
species,77.6137304,32.4846855
