"elev_round","maxTemp_Jan_mean","maxTemp_June_mean","minTemp_Jan_mean","minTemp_June_mean","maxTemp_Jan_ci","maxTemp_June_ci","minTemp_Jan_ci","minTemp_June_ci","tempRange_Jan","tempRange_June"
2000,10.7385517157162,21.218573696422,0.234705092196849,16.2607766516058,0.034702495463683,0.0156123124354501,0.0404316571588155,0.0165641419554537,10.5038466235194,4.95779704481622
2100,10.0939594648298,20.7175122532786,-0.376076301496887,15.7399655583521,0.0350756200045302,0.0166923002690036,0.0421555595450798,0.0181327043738682,10.4700357663267,4.97754669492648
2200,9.48432364096081,20.2641241747436,-0.977145666526197,15.2628459053238,0.0346112174060639,0.0165698309068595,0.0432518991191248,0.0183827828877417,10.461469307487,5.00127826941986
2300,8.85349194167306,19.7901458173446,-1.58595548733691,14.7758250191865,0.0356887095113754,0.0182714205579835,0.0453355709108195,0.0203864041737433,10.43944742901,5.0143207981581
2400,8.24612959167586,19.3273056913133,-2.15782752640706,14.2997319880183,0.0328417697708198,0.0171888060626102,0.0447840333778634,0.0194574371673969,10.4039571180829,5.02757370329497
2500,7.6122706615048,18.8625820568928,-2.77495371149638,13.8075071536778,0.0338142589724829,0.0198158236814176,0.0476350238514528,0.0225323971765169,10.3872243730012,5.05507490321495
2600,7.03609110701725,18.4056941885781,-3.34727851281192,13.3225925305644,0.0332641763746914,0.0206134711945377,0.0478117658773588,0.0231247606805158,10.3833696198292,5.08310165801373
2700,6.42037037037037,17.9580477673936,-3.98791969539633,12.8180685358255,0.0333414430061879,0.0204544811490932,0.0490190660358988,0.0236055902544778,10.4082900657667,5.13997923156802
2800,5.90342787541326,17.531059683313,-4.49949538889856,12.3816773969027,0.0329520440574153,0.0218265820000198,0.0492310649162341,0.0247513180043894,10.4029232643118,5.1493822864103
2900,5.26536360532605,17.0531751451007,-5.03074428132468,11.8928644588597,0.0317618622389557,0.0204790398873133,0.0470441774403132,0.0230185262909166,10.2961078866507,5.16031068624104
3000,4.73665573770492,16.6216885245902,-5.52611475409836,11.4577213114754,0.0304802310246357,0.0203139228414607,0.0462052605621169,0.022702062730945,10.2627704918033,5.16396721311475
3100,4.20968077723803,16.1871616932686,-6.12248438584316,10.966932685635,0.0319093593970038,0.0215582096824161,0.0487321720173269,0.0244435401257766,10.3321651630812,5.22022900763359
3200,3.66970254010695,15.7495153743316,-6.6622827540107,10.4962901069519,0.0318242049914758,0.0223981117374672,0.0485392339404359,0.0248796193002895,10.3319852941176,5.25322526737968
3300,3.1560441426146,15.3279796264856,-7.21617996604414,10.0359252971138,0.0319695407232148,0.0235225688163147,0.049670851654882,0.0256663340638877,10.3722241086587,5.29205432937182
3400,2.63821273757919,14.901333777926,-7.69921640546849,9.59323107702568,0.0321992266097327,0.0243632447136759,0.0501667370964993,0.0264629273742117,10.3374291430477,5.3081027009003
3500,2.19283950617284,14.5061728395062,-8.15496296296296,9.1721975308642,0.0304532378490776,0.0239630746340486,0.0487689047393203,0.0249832307721745,10.3478024691358,5.33397530864197
3600,2.07242424242424,14.7688242424242,-8.86082424242424,8.89770909090909,0.0294321298967447,0.0340276783944198,0.0404019639727772,0.0216597034703794,10.9332484848485,5.87111515151515
3700,1.44488774855677,14.1235663887107,-9.28756895445799,8.38427196921103,0.029245412181191,0.0324446986556868,0.0427055779308655,0.0225739589174959,10.7324567030148,5.73929441949968
3800,1.07555880509714,13.9904637560059,-9.95086693127219,7.93913724670984,0.024847087615496,0.0306574764786761,0.0375443490653758,0.0187534975781068,11.0264257363693,6.05132650929601
3900,0.601138411915378,13.6853239730576,-10.6201404041362,7.46819087373115,0.0238412136124332,0.0291151560351996,0.0371630939081637,0.0180671262228605,11.2212788160516,6.21713309932644
4000,0.129006243496358,13.3099895941727,-11.1927852930975,7.02434096427333,0.0225936581052653,0.02749114667762,0.0368892518650364,0.0175351945889706,11.3217915365938,6.28564862989941
4100,-0.339878221703228,12.8926766202352,-11.650813245475,6.60658937359246,0.0217160255243026,0.0255823040743478,0.0362773154792973,0.0164950203104838,11.3109350237718,6.28608724664276
4200,-0.81966472303207,12.5311443148688,-12.2686880466472,6.15377551020408,0.0200742133395308,0.0229467326474226,0.0339392759209171,0.0152017007851174,11.4490233236152,6.37736880466472
4300,-1.31112107004964,12.1132584114727,-12.7967181467181,5.69412575841147,0.0203934139837828,0.0220962604753427,0.0343234573565567,0.015284776311717,11.4855970766685,6.41913265306122
4400,-1.7275513362914,11.8444536167578,-13.4619956660819,5.25799711072129,0.0184183410832927,0.0181282858989589,0.0298890157875323,0.0130725576771931,11.7344443297905,6.58645650603653
4500,-2.29998656335379,11.4237783849151,-14.2069153939177,4.73980382496529,0.0205034907945327,0.0165289318658679,0.0327507568283052,0.0139479192221317,11.9069288305639,6.68397455994984
